CMT_Corner_ID,Street_Name1,Street_Name2,Borough,Community_District,Block,Lot,Complaint_ID,Complaint_Date,Temp_Repair_Feasible,Temp_Repair_Date,Temp_Repair_Type,Second_Temp_Repair_Needed,Date_Second_Temp_Repair,BulkComplaint
1026267,82 STREET,BROADWAY,QUEENS,404,1527,7502,DOT-535672-R0N0,02/25/2022,No,,,No,,No
1091387,BROADWAY,WEST 110 STREET,MANHATTAN,107,1894,11,311-20353264,10/08/2024,Yes,10/18/2024,Other,No,,No
1089479,BROADWAY,EAST 20 STREET,MANHATTAN,105,849,10,311-06163543,05/04/2021,Yes,06/12/2021,Asphalt Ramp,No,,No
1091723,BROADWAY,WEST 63 STREET,MANHATTAN,107,1115,7503,311-13283326,01/28/2023,Yes,02/03/2023,Other,No,,No
1084944,BROADWAY,PRINCE STREET,MANHATTAN,102,512,23,311-12297834,10/30/2022,Yes,11/29/2022,Other,No,,No
1089481,BROADWAY,EAST 20 STREET,MANHATTAN,105,848,61,311-06163543,05/04/2021,No,,,No,,No
1105844,BROADWAY,WALTON STREET,BROOKLYN,301,2247,13,311-08673769,12/10/2021,No,,,No,,No
1092761,BROADWAY,WEST 135 STREET,MANHATTAN,109,2001,5,311-06180838,05/06/2021,No,,,No,,Yes
1091152,BROADWAY,WEST 87 STREET,MANHATTAN,107,1234,7501,DOT-470661-B1K3,08/28/2020,Yes,09/23/2020,Other,No,,No
1095566,BROADWAY,WEST 171 STREET,MANHATTAN,112,2142,66,DOT-561446-B6T7,08/18/2022,Yes,12/05/2022,Other,No,,Yes
1091011,BROADWAY,WEST 98 STREET,MANHATTAN,107,1870,7501,311-10742205,06/21/2022,Yes,08/03/2022,Other,No,,No
1091708,BROADWAY,WEST 61 STREET,MANHATTAN,107,1113,47,311-13042130,01/05/2023,Yes,01/27/2023,Other,No,,No
1025097,75 STREET,BROADWAY,QUEENS,404,1486,13,311-12355143,11/04/2022,No,,,No,,No
1091292,BROADWAY,WEST 79 STREET,MANHATTAN,107,1227,13,311-11935131,09/29/2022,Yes,11/30/2022,Other,No,,No
1092365,BROADWAY,WEST 133 STREET,MANHATTAN,109,2001,5,311-13994647,03/31/2023,Yes,04/04/2023,Other,No,,No
1089322,BROADWAY,WEST 26 STREET,MANHATTAN,105,828,25,311-16446441,11/02/2023,Yes,11/21/2023,Other,No,,No
1096287,BROADWAY,WEST 157 STREET,MANHATTAN,112,2116,1,DOT Internal,01/17/2025,Yes,01/17/2025,Other,No,,No
1242697,BROADWAY,LEXINGTON AVENUE,BROOKLYN,304,3293,25,DOT-656090-S3C9,07/01/2024,No,,,No,,No
1091580,BROADWAY,WEST 69 STREET,MANHATTAN,107,1141,13,311-10032585,04/20/2022,Yes,05/13/2022,Other,No,,No
1092641,BROADWAY,WEST 112 STREET,MANHATTAN,109,1895,16,311-09662408,03/15/2022,Yes,03/30/2022,Other,No,,No
1091624,BROADWAY,WEST 67 STREET,MANHATTAN,107,1138,7502,311-09474077,02/24/2022,Yes,03/04/2022,Other,No,,No
1092738,BROADWAY,LA SALLE STREET,MANHATTAN,109,1993,73,311-19788909,08/22/2024,Yes,09/04/2024,Other,No,,No
1089058,BROADWAY,WEST 50 STREET,MANHATTAN,105,1021,45,311-08842664,12/28/2021,Yes,01/21/2022,Other,No,,No
1092643,BROADWAY,WEST 112 STREET,MANHATTAN,109,1883,59,311-19260939,07/08/2024,Yes,07/24/2024,Other,No,,No
