CMT_Corner_ID,Street_Name1,Street_Name2,Borough,Community_District,Block,Lot,Complaint_ID,Complaint_Date,Temp_Repair_Feasible,Temp_Repair_Date,Temp_Repair_Type,Second_Temp_Repair_Needed,Date_Second_Temp_Repair,BulkComplaint
1026446,63 DRIVE,97 STREET,QUEENS,406,2088,1,DOT-574046-F9L0,11/25/2022,No,,,No,,No
1094961,1 AVENUE,EAST 104 STREET,MANHATTAN,111,1696,1,311-21384749,01/01/2025,Yes,02/24/2025,Other,No,,No
1361529,6 AVENUE,FT HAMILTON PARKWAY,BROOKLYN,310,6020,1,DOT-506433-X0J6,06/11/2021,No,,,No,,No
1138766,4 AVENUE,96 STREET,BROOKLYN,310,6117,36,DOT-498780-C3X4,04/14/2021,Yes,05/13/2021,Other,No,,No
1359770,41 ROAD,BELL BOULEVARD,QUEENS,411,6227,311,DOT-649775-Z5N6,05/18/2024,No,,,No,,No
1024276,CLAREMONT PARKWAY,CLAY AVENUE,BRONX,204,2788,1,Claremont Park Area (BULK COMPLAINT),04/18/2022,No,,,No,,Yes
1089326,5 AVENUE,EAST 26 STREET,MANHATTAN,105,828,35,DOT-683349-Z1R8,02/05/2025,Yes,02/07/2025,Other,No,,No
1057485,65 DRIVE,70 STREET,QUEENS,405,3028,91,DOT-569626-Q4B0,10/19/2022,No,,,No,,No
1109704,KING STREET,RICHARDS STREET,BROOKLYN,306,557,1,311-09168694,01/27/2022,Yes,02/28/2022,Other,No,,No
1087454,BROADWAY,FRANKLIN STREET,MANHATTAN,101,172,1,311-13305613,01/29/2023,Yes,02/09/2023,Other,No,,No
1091833,COLUMBUS AVENUE,WEST 77 STREET,MANHATTAN,107,1148,14,DOT Internal,08/17/2022,Yes,08/19/2022,Other,No,,No
1006869,EAST 170 STREET,LOUIS NINE BOULEVARD,BRONX,203,2966,101,DOT-672359-Z7Y7,10/29/2024,No,,,No,,No
1198675,1 AVENUE,EAST 107 STREET,MANHATTAN,111,1678,1,311-22022832,02/22/2025,Pending Determination,,,No,,No
1089815,5 AVENUE,EAST 48 STREET,MANHATTAN,105,1284,1,311-20060580,09/14/2024,Pending Determination,,,No,,No
1151130,DELLWOOD ROAD,OLD TOWN ROAD,STATEN ISLAND,502,849,30,311-20276413,10/01/2024,Yes,10/17/2024,Other,No,,No
1111130,BEDFORD AVENUE,LEXINGTON AVENUE,BROOKLYN,303,1968,38,311-09395035,02/16/2022,Yes,02/28/2022,Other,No,,No
1169178,80 STREET,JUNIPER BOULEVARD NORTH,QUEENS,405,2966,32,311-13429136,02/09/2023,No,,,No,,No
1002109,GRAND CENTRAL PARKWAY,STRONGHURST AVENUE,QUEENS,413,7917,1,311-20269899,10/01/2024,Yes,10/11/2024,Other,No,,No
1139774,CLASSON AVENUE,EASTERN PARKWAY,BROOKLYN,308,1181,7502,DOT-526136-L1Z4,11/16/2021,No,,,No,,No
1024321,EAST MT EDEN AVENUE,SHERIDAN AVENUE,BRONX,204,2821,52,Claremont Park Area (BULK COMPLAINT),04/18/2022,No,,,No,,Yes
1022137,134 AVENUE,CROSS BAY BOULEVARD,QUEENS,410,11493,79,DOT-520027-T2Q4,09/29/2021,Yes,11/30/2022,Other,No,,No
1092427,AMSTERDAM AVENUE,DR M L KING JR BOULEVARD,MANHATTAN,109,1980,1,311-13040388,01/05/2023,Yes,01/27/2023,Other,No,,No
